,,,,,
Quinidine,"Quinaglute, Duraquin, Quinact, Quinidex, Cin-Quin, Quinora",Antiarrhythmic,Arrhythmia,link,Known Risk of TdP
Quinine sulfate,"Qualaquin, Hexaquine",Antimalarial,"Malaria, leg cramps",link,Conditional Risk of TdP
Quizartinib,Vanflyta,Tyrosine kinase inhibitor,Acute myeloid leukemia,link,Known Risk of TdP
Ranolazine,"Ranexa, Ranozex",Antianginal,Angina Pectoris (heart pain),link,Conditional Risk of TdP
Relugolix,"Orgovyx, Relumina",GnRH antagonist,Cancer (prostate),link,Possible Risk of TdP
Remdesivir,Veklury,Antiviral,COVID-19,link,Possible Risk of TdP
Remimazolam,Byfavo,Sedative,Sedation,link,Possible Risk of TdP
Revumenib,Revuforj,Antineoplastic,Acute leukemia,link,Possible Risk of TdP
Ribociclib,Kisqali,Anti-cancer,Cancer (breast),link,Possible Risk of TdP
Rilpivirine,"Edurant, Complera, Eviplera, Juluca",Antiviral,Viral infection (HIV/AIDS),link,Possible Risk of TdP
Risperidone,Risperdal,"Antipsychotic, atypical",Schizophrenia,link,Conditional Risk of TdP
Rivastigmine,Exelon,Cholinesterase inhibitor,Dementia (Alzheimers disease),link,Possible Risk of TdP
Romidepsin,Istodax,Histone deacetylase inhibitor,Cancer (lymphoma),link,Possible Risk of TdP
"Roxithromycin
(Only on Non US Market)","Rulide, Xthrocin, Roxl-150, Roxo, Surlid, Rulide, Biaxsig, Roxar, Roximycinv, Roxomycin, Rulid, Tirabicin, Coroxin",Antibiotic,Bacterial infection,link,Known Risk of TdP
Rucaparib,Rubraca,PARP inhibitor,Cancer,link,Possible Risk of TdP
Saquinavir (with ritonavir),Invirase,Antiviral,Viral infection (HIV/AIDS),link,Possible Risk of TdP
Selpercatinib,Retevmo,Kinase inhibitor,Lung cancer,link,Possible Risk of TdP
"Sertindole
(Only on Non US Market)","Serdolect, Serlect","Antipsychotic, atypical","Schizophrenia, anxiety",link,Known Risk of TdP
Sertraline,"Zoloft, Lustral","Antidepressant, SSRI",Depression,link,Conditional Risk of TdP
Sevoflurane,"Ultane, Sojourn","Anesthetic, general",Anesthesia,link,Known Risk of TdP
Siponimod,Mayzent,,Multiple Sclerosis,link,Possible Risk of TdP
"Sitafloxacin
(Only on Non US Market)",Gracevit,Antibiotic,Infections,link,Possible Risk of TdP
Solifenacin,Vesicare,Muscle relaxant,Bladder spasm,link,Conditional Risk of TdP
Sorafenib,Nexavar,Anti-cancer,"Cancer (liver, renal cell, metastatic thyroid)",link,Possible Risk of TdP
Sotalol,"Betapace, Sotalex, Sotacor, Sotalol-AF",Antiarrhythmic,Arrhythmia,link,Known Risk of TdP
"Sparfloxacin
(Removed from US Market)",Zagam,Antibiotic,Bacterial infection,link,Known Risk of TdP
"Sulpiride
(Only on Non US Market)","Dogmatil, Dolmatil, Eglonyl, Espiride, Modal, Sulpor","Antipsychotic, atypical",Schizophrenia,link,Known Risk of TdP
"Sultopride
(Only on Non US Market)","Barnetil, Barnotil, Topral","Antipsychotic, atypical",Schizophrenia,link,Known Risk of TdP
Sunitinib,Sutent,Anti-cancer,"Cancer (GIST, renal cell, pNET)",link,Possible Risk of TdP
Tacrolimus,"Prograf, Prograf, Advagraf, Protopic",Immunosuppressant,Immune suppression,link,Possible Risk of TdP
Tamoxifen,"Nolvadex, Istubal",Anti-cancer,Cancer (breast),link,Possible Risk of TdP
Tazemetostat,Tazverik,Anti-cancer,Epithelioid sarcoma,link,Possible Risk of TdP
Tebentafusp,Kimmtrak,CD3 T cell engager,"Melanoma, eye",link,Possible Risk of TdP
"Telaprevir
(Removed from US Market,
Only on Non US Market)","Incivo, Incivek",Antiviral,Viral infection (hepatitis C),link,Conditional Risk of TdP
Telavancin,Vibativ,Antibiotic,Bacterial infection,link,Possible Risk of TdP
Telithromycin,Ketek,Antibiotic,Bacterial infection,link,Possible Risk of TdP
"Terfenadine
(Removed from US Market)",Seldane,Antihistamine,Allergic rhinitis,link,Known Risk of TdP
Terlipressin,"Teripress, Glypressin, Terlipin, Remestyp, Tresil, Teriss",Vasoconstrictor,Septic shock,link,Known Risk of TdP
"Terodiline
(Only on Non US Market)","Micturin, Mictrol",Muscle relaxant,Bladder spasm,link,Known Risk of TdP
Tetrabenazine,"Nitoman, Xenazine",Vesicular Monoamine Transporter 2 Inhibitor,Chorea (Huntington's disease),link,Possible Risk of TdP
Thioridazine,"Mellaril, Novoridazine, Thioril",Antipsychotic,Schizophrenia,link,Known Risk of TdP
"Tiapride
(Only on Non US Market)","Tiapridal, Italprid, Sereprile, Tialaread, Tiaryl, Tiaprim, Tiaprizal, Sereprid, Tiapridex","Selective D2, D3 dopamine antagonist","Alcoholism, withdrawal",link,Possible Risk of TdP
Tipiracil/Trifluridine,Lonsurf,Anti-cancer,Cancer (Metastatic colorectal),link,Possible Risk of TdP
Tizanidine,"Zanaflex, Sirdalud",Muscle relaxant,Muscle spasticity,link,Possible Risk of TdP
Tolterodine,"Detrol, Detrusitol",Muscle relaxant,Bladder spasm,link,Possible Risk of TdP
Toremifene,Fareston,Estrogen agonist/antagonist,"Cancer (breast, metastatic)",link,Possible Risk of TdP
Torsemide (Torasemide),"Demadex, Diuver, Examide",Diuretic,"Hypertension, diuresis",link,Conditional Risk of TdP
Tramadol,"Crispin, Ralivia ER, Ralivia Flashtab, Tramadolum, Tramal, Tramodol, Tridural, Ultram, Ultram ER, Zydol, Ixprim, Zaldiar, Topalgic",Analgesic,Pain,link,Possible Risk of TdP
Trazodone,"Desyrel, Oleptro, Beneficat, Deprax, Desirel, Molipaxin, Thombran, Trazorel, Trialodine, Trittico, Mesyrel","Antidepressant, SARI","Depression, insomnia",link,Conditional Risk of TdP
Triclabendazole,Egaten,Antihelmintics,Fascioliasis,link,Possible Risk of TdP
Trimipramine,"Surmontil, Rhotrimine, Stangyl","Antidepressant, Tricyclic",Depression,link,Possible Risk of TdP
"Tropisetron
(Only on Non US Market)","Navoban, Setrovel",Antiemetic,"Nausea, vomiting",link,Possible Risk of TdP
Valbenazine,Ingrezza,Vesicular monamine transporter 2 inhibitor,Tardive Dyskinesia,link,Possible Risk of TdP
Vandetanib,Caprelsa,Anti-cancer,Cancer (thyroid),link,Known Risk of TdP
Vardenafil,Levitra,Phosphodiesterase 5 inhibitor,Erectile dysfunction,link,Possible Risk of TdP
Vemurafenib,Zelboraf,Anti-cancer,Cancer (melanoma),link,Possible Risk of TdP
Venlafaxine,"Effexor, Efexor","Antidepressant, SNRI",Depression,link,Possible Risk of TdP
"Vernakalant
(Only on Non US Market)","Brinavess, Kynapid",Antiarrhythmic agent,Atrial Fibrillation,link,Possible Risk of TdP
Voclosporin,Lupkynis,Immunosupressant,Lupus nephritis,link,Possible Risk of TdP
Voriconazole,VFend,Antifungal,Fungal infection,link,Conditional Risk of TdP
Vorinostat,Zolinza,Histone deacetylase inhibitor,Cancer (lymphoma),link,Possible Risk of TdP
Ziprasidone,"Geodon, Zeldox","Antipsychotic, atypical",Schizophrenia,link,Conditional Risk of TdP
"Zotepine
(Only on Non US Market)","Losizopilon, Lodopin, Setous, Zoleptil","Antipsychotic, atypical",Schizophrenia,link,Possible Risk of TdP
"Zuclopenthixol (Zuclopentixol)
(Only on Non US Market)","Cisordinol, Clopixol, Acuphase",Antipsychotic,Psychosis,link,Possible Risk of TdP
Abarelix,Plenaxis,,,,Possible Risk of TdP
Abiraterone,Zytiga and others,,,,Conditional Risk of TdP
Aclarubicin,Aclacin and others,,,,Known Risk of TdP
Adagrasib,Krazati,,,,Possible Risk of TdP
Albuterol (salbutamol),Proventil and others,,,,Special Risk of TdP
Alfuzosin,Uroxatral,,,,Possible Risk of TdP
Alimemazine (Trimeprazine),Nedeltran and others,,,,Possible Risk of TdP
Amantadine,Symmetrel and others,,,,Conditional Risk of TdP
Amiodarone,Cordarone and others,,,,Known Risk of TdP
Amisulpride,Barhemsys and others,,,,Conditional Risk of TdP
Amitriptyline,Elavil (Discontinued 6/13) and others,,,,Conditional Risk of TdP
Amphetamine (Amfetamine),Adderal-XR and others,,,,Special Risk of TdP
Amphotericin B,Fungilin and others,,,,Conditional Risk of TdP
Amsacrine (Acridinyl anisidide),Amsidine,,,,Conditional Risk of TdP
Anagrelide,Agrylin and others,,,,Known Risk of TdP
Apalutamide,Erleada,,,,Possible Risk of TdP
Apomorphine,Apokyn and others,,,,Possible Risk of TdP
Arformoterol,Brovana,,,,Special Risk of TdP
Aripiprazole,Abilify and others,,,,Possible Risk of TdP
Arsenic trioxide,Trisenox,,,,Known Risk of TdP
Artemether/Lumefantrine,Coartem,,,,Possible Risk of TdP
Artenimol/piperaquine,Eurartesim,,,,Possible Risk of TdP
Asenapine,Saphris and others,,,,Possible Risk of TdP
Astemizole,Hismanal,,,,Known Risk of TdP
Atazanavir,Reyataz and others,,,,Conditional Risk of TdP
Atomoxetine,Strattera,,,,Possible Risk of TdP
Azithromycin,Zithromax and others,,,,Known Risk of TdP
Bedaquiline,Sirturo,,,,Possible Risk of TdP
Bendamustine,Treanda and others,,,,Possible Risk of TdP
Bendroflumethiazide (Bendrofluazide),Aprinox and others,,,,Conditional Risk of TdP
Benzphetamine,Didrex and others,,,,Special Risk of TdP
Bepridil,Vascor,,,,Known Risk of TdP
Betrixaban,Bevyxxa,,,,Possible Risk of TdP
Bicalutamide,Casodex,,,,Possible Risk of TdP
Bilastine,Allertine and others,,,,Possible Risk of TdP
Bortezomib (Bortexomib),Velcade and others,,,,Possible Risk of TdP
Bosutinib,Bosulif,,,,Possible Risk of TdP
Buprenorphine,Butrans and others,,,,Possible Risk of TdP
Cabozantinib,Cometriq,,,,Possible Risk of TdP
Capecitabine,Xeloda,,,,Possible Risk of TdP
Carbetocin,Pabal and others,,,,Possible Risk of TdP
Ceritinib,Zykadia,,,,Possible Risk of TdP
Cesium Chloride,Energy Catalyst,,,,Known Risk of TdP
Chloral hydrate,Aquachloral and others,,,,Conditional Risk of TdP
Chloroquine,Aralen,,,,Known Risk of TdP
Chlorpromazine,Thorazine and others,,,,Known Risk of TdP
Chlorprothixene,Truxal,,,,Known Risk of TdP
Cilostazol,Pletal,,,,Known Risk of TdP
Cimetidine,Tagamet,,,,Conditional Risk of TdP
Cinacalcet,Sensipar,,,,Conditional Risk of TdP
Ciprofloxacin,Cipro and others,,,,Known Risk of TdP
Cisapride,Propulsid,,,,Known Risk of TdP
Citalopram,Celexa and others,,,,Known Risk of TdP
Clarithromycin,Biaxin and others,,,,Known Risk of TdP
Clofazimine,Lamprene,,,,Conditional Risk of TdP
Clomipramine,Anafranil,,,,Conditional Risk of TdP
Clotiapine,Entumine,,,,Possible Risk of TdP
Clozapine,Clozaril and others,,,,Possible Risk of TdP
Cobimetinib,Cotellic,,,,Possible Risk of TdP
Cocaine,Cocaine,,,,Known Risk of TdP
Crizotinib,Xalkori,,,,Possible Risk of TdP
Cyamemazine (Cyamepromazine),Tercian,,,,Possible Risk of TdP
Dabrafenib,Tafinlar,,,,Possible Risk of TdP
Dasatinib,Sprycel,,,,Possible Risk of TdP
Degarelix,Firmagon and others,,,,Possible Risk of TdP
Delamanid,Deltyba,,,,Possible Risk of TdP
Desipramine,Pertofrane and others,,,,Possible Risk of TdP
Dexmedetomidine,Precedex and others,,,,Possible Risk of TdP
Dexmethylphenidate,Focalin and others,,,,Special Risk of TdP
Dextroamphetamine (Dexamfetamine),Dexedrine and others,,,,Special Risk of TdP
Dextromethorphan/Quinidine,Nuedexta,,,,Possible Risk of TdP
Diethylpropion (amfepramone),Tenuate and others,,,,Special Risk of TdP
Diltiazem,Cardizem,,,,Conditional Risk of TdP
Diphenhydramine,Benadryl and others,,,,Conditional Risk of TdP
Disopyramide,Norpace,,,,Known Risk of TdP
Dobutamine,Dobutrex,,,,Special Risk of TdP
Dofetilide,Tikosyn,,,,Known Risk of TdP
Dolasetron,Anzemet,,,,Possible Risk of TdP
Domperidone,Motilium and others,,,,Known Risk of TdP
Donepezil,Aricept,,,,Known Risk of TdP
Dopamine,Intropine,,,,Special Risk of TdP
dordaviprone,Modeyso,,,,Possible Risk of TdP
Doxepin,Sinequan and others,,,,Conditional Risk of TdP
Dronedarone,Multaq,,,,Known Risk of TdP
Droperidol,Inapsine and others,,,,Known Risk of TdP
Droxidopa,Northera,,,,Special Risk of TdP
Efavirenz,Sustiva,,,,Possible Risk of TdP
Eliglustat,Cerdelga,,,,Possible Risk of TdP
Encorafenib,Braftovi,,,,Possible Risk of TdP
Entrectinib,Rozlytrek,,,,Possible Risk of TdP
Eperisone,Myonal and others,,,,Conditional Risk of TdP
Ephedrine,Rynatuss and others,,,,Special Risk of TdP
Epinephrine (Adrenaline),Primatene and others,,,,Special Risk of TdP
Epirubicin,Ellence and others,,,,Possible Risk of TdP
Eribulin mesylate,Halaven,,,,Possible Risk of TdP
Erythromycin,E.E.S. and others,,,,Known Risk of TdP
Escitalopram,Cipralex and others,,,,Known Risk of TdP
Esomeprazole,Nexium and others,,,,Conditional Risk of TdP
Ezogabine (Retigabine),Potiga and others,,,,Possible Risk of TdP
Famotidine,Pepcid and others,,,,Conditional Risk of TdP
Felbamate,Felbatol,,,,Possible Risk of TdP
Fenfluramine,Fintepla,,,,Special Risk of TdP
Fenoterol,Berotec and others,,,,Special Risk of TdP
Fexinidazole,Fexinidazole,,,,Possible Risk of TdP
Fingolimod,Gilenya,,,,Possible Risk of TdP
Flecainide,Tambocor and others,,,,Known Risk of TdP
Fluconazole,Diflucan and others,,,,Known Risk of TdP
Fluorouracil (5-FU),Adrucil and others,,,,Possible Risk of TdP
Fluoxetine,Prozac and others,,,,Conditional Risk of TdP
Flupentixol,Depixol and others,,,,Possible Risk of TdP
Fluticasone And Salmeterol,Advair and others,,,,Special Risk of TdP
Fluvoxamine,Faverin and others,,,,Conditional Risk of TdP
Formoterol,Foradil and others,,,,Special Risk of TdP
Furosemide (frusemide),Lasix and others,,,,Conditional Risk of TdP
Galantamine,Reminyl and others,,,,Conditional Risk of TdP
Garenoxacin,Geninax,,,,Conditional Risk of TdP
Gatifloxacin,Tequin,,,,Known Risk of TdP
Gemifloxacin,Factive,,,,Possible Risk of TdP
Gepirone,Exxua,,,,Possible Risk of TdP
Gepotidacin,Blujepa,,,,Possible Risk of TdP
Gilteritinib,Xospata,,,,Possible Risk of TdP
Givinostat,Duvyzat,,,,Possible Risk of TdP
Glasdegib,Daurismo,,,,Possible Risk of TdP
Granisetron,Kytril and others,,,,Possible Risk of TdP
Grepafloxacin,Raxar,,,,Known Risk of TdP
Halofantrine,Halfan,,,,Known Risk of TdP
Haloperidol,Haldol and others,,,,Known Risk of TdP
Hydrochlorothiazide,Apo-Hydro and others,,,,Conditional Risk of TdP
Hydrocodone - ER,Hysingla ER and others,,,,Possible Risk of TdP
Hydroquinidine (Dihydroquinidine),Serecor,,,,Known Risk of TdP
Hydroxychloroquine,Plaquenil and others,,,,Known Risk of TdP
Hydroxyzine,Atarax and others,,,,Conditional Risk of TdP
Ibogaine,,,,,Known Risk of TdP
Ibutilide,Corvert,,,,Known Risk of TdP
Iloperidone,Fanapt and others,,,,Possible Risk of TdP
Imatinib,Gleevec and others,,,,Possible Risk of TdP
Imipramine (Melipramine),Tofranil,,,,Possible Risk of TdP
Indacaterol,Arcapta Neohaler and others,,,,Special Risk of TdP
Indapamide,Lozol and others,,,,Conditional Risk of TdP
Inotuzumab ozogamicin,Besponsa,,,,Possible Risk of TdP
Isoflurane,Forane,,,,Possible Risk of TdP
Isoproterenol (isoprenaline),Medihaler-Iso and others,,,,Special Risk of TdP
Isradipine,Dynacirc,,,,Possible Risk of TdP
Itraconazole,Sporanox and others,,,,Conditional Risk of TdP
Ivabradine,Procoralan and others,,,,Known Risk of TdP
Ivosidenib,Tibsovo,,,,Possible Risk of TdP
Ketanserin,Sufrexal,,,,Possible Risk of TdP
Ketoconazole,Nizoral and others,,,,Conditional Risk of TdP
Lacidipine,Lacipil and others,,,,Possible Risk of TdP
Lansoprazole,Prevacid and others,,,,Conditional Risk of TdP
Lapatinib,Tykerb and others,,,,Possible Risk of TdP
Lefamulin,Xenleta,,,,Possible Risk of TdP
Lenvatinib,Lenvima,,,,Possible Risk of TdP
Leuprolide (Leuprorelin),Lupron and others,,,,Possible Risk of TdP
Levalbuterol (Levsalbutamol),Xopenex and others,,,,Special Risk of TdP
Levofloxacin,Levaquin and others,,,,Known Risk of TdP
Levoketoconazole,Recorlev,,,,Possible Risk of TdP
Levomepromazine (Methotrimeprazine),Nosinan and others,,,,Known Risk of TdP
Levomethadone (levamethadone),,,,,Possible Risk of TdP
Levomethadyl acetate,Orlaam,,,,Known Risk of TdP
Levomethamphetamine (Levmetamfetamine),Sinu Inhaler and others,,,,Special Risk of TdP
Levosulpiride,Lesuride and others,,,,Known Risk of TdP
Lisdexamfetamine,Vyvanse,,,,Special Risk of TdP
Lithium,Eskalith and others,,,,Possible Risk of TdP
Lofexidine,Lucemyra,,,,Possible Risk of TdP
Loperamide,Imodium,,,,Conditional Risk of TdP
Lopinavir/Ritonavir,Kaletra and others,,,,Possible Risk of TdP
Lumateperone,Caplyta,,,,Possible Risk of TdP
Lurasidone,Latuda,,,,Possible Risk of TdP
Macimorelin,Macrilen,,,,Possible Risk of TdP
Maprotiline,Ludiomil,,,,Possible Risk of TdP
Mavorixafor,Xolremdi,,,,Possible Risk of TdP
Meglumine antimoniate,Glucantime,,,,Known Risk of TdP
Melperone,Bunil and others,,,,Possible Risk of TdP
Mesoridazine,Serentil,,,,Known Risk of TdP
Metaproterenol (Orciprenaline),Metaprel and others,,,,Special Risk of TdP
Methadone,Dolophine and others,,,,Known Risk of TdP
Methamphetamine (Metamfetamine),Desoxyn and others,,,,Special Risk of TdP
Methylphenidate,Ritalin and others,,,,Special Risk of TdP
Metoclopramide,Reglan and others,,,,Conditional Risk of TdP
Metolazone,Zytanix and others,,,,Conditional Risk of TdP
Metronidazole,Flagyl and others,,,,Conditional Risk of TdP
Mianserin,Tolvon,,,,Possible Risk of TdP
Midodrine,ProAmatine and others,,,,Special Risk of TdP
Midostaurin,Rydapt,,,,Possible Risk of TdP
Mifepristone,Korlym and others,,,,Possible Risk of TdP
Mirabegron,Myrbetriq,,,,Possible Risk of TdP
Mirtazapine,Remeron,,,,Possible Risk of TdP
Mobocertinib,Exkivity,,,,Known Risk of TdP
Moclobemide,Amira and others,,,,Possible Risk of TdP
Motixafortide,Aphexda,,,,Possible Risk of TdP
Moxifloxacin,Avelox and others,,,,Known Risk of TdP
Necitumumab,Portrazza,,,,Possible Risk of TdP
Nelfinavir,Viracept,,,,Conditional Risk of TdP
Nicardipine,Cardene,,,,Possible Risk of TdP
Nifekalant,Shinbit,,,,Known Risk of TdP
Nilotinib,Tasigna,,,,Possible Risk of TdP
Norepinephrine,Levophed,,,,Special Risk of TdP
Norfloxacin,Noroxin and others,,,,Possible Risk of TdP
Nortriptyline,Pamelor and others,,,,Possible Risk of TdP
Nusinersen,Spinraza,,,,Possible Risk of TdP
Ofloxacin,Floxin,,,,Possible Risk of TdP
Olanzapine,Zyprexa and others,,,,Conditional Risk of TdP
Oliceridine,Olinvyk,,,,Possible Risk of TdP
Olodaterol,Striverdi Respimat,,,,Special Risk of TdP
Omeprazole,Losec and others,,,,Conditional Risk of TdP
Ondansetron,Zofran and others,,,,Known Risk of TdP
Opipramol,Deprenil and others,,,,Possible Risk of TdP
Osilodrostat,Isturisa,,,,Possible Risk of TdP
Osimertinib,Tagrisso,,,,Known Risk of TdP
Oxaliplatin,Eloxatin,,,,Known Risk of TdP
Oxymetazoline,Afrin and others,,,,Special Risk of TdP
Oxytocin,Pitocin and others,,,,Possible Risk of TdP
Ozanimod,Zeposia,,,,Possible Risk of TdP
Pacritinib,Vonjo,,,,Possible Risk of TdP
Paliperidone,Invega and others,,,,Possible Risk of TdP
Palonosetron,Aloxi,,,,Possible Risk of TdP
Panobinostat,Farydak,,,,Possible Risk of TdP
Pantoprazole,Protonix and others,,,,Conditional Risk of TdP
Papaverine HCl (Intracoronary),ParaTime SR and others,,,,Known Risk of TdP
Paroxetine,Paxil and others,,,,Conditional Risk of TdP
Pasireotide,Signifor,,,,Possible Risk of TdP
Pazopanib,Votrient,,,,Possible Risk of TdP
Pentamidine,Pentam,,,,Known Risk of TdP
Perphenazine,Trilafon and others,,,,Possible Risk of TdP
Phendimetrazine,Bontril and others,,,,Special Risk of TdP
Phentermine,Adipex P and others,,,,Special Risk of TdP
Phenylephrine,Neosynephrine,,,,Special Risk of TdP
Phenylpropanolamine,Acutrim and others,,,,Special Risk of TdP
Pilsicainide,Sunrythm,,,,Possible Risk of TdP
Pimavanserin,Nuplazid,,,,Possible Risk of TdP
Pimozide,Orap,,,,Known Risk of TdP
Pipamperone,Dipiperon and others,,,,Possible Risk of TdP
Piperacillin/Tazobactam,Tazosyn and others,,,,Conditional Risk of TdP
Pitolisant (Tiprolisant),Wakix,,,,Possible Risk of TdP
Ponesimod,Ponvory,,,,Possible Risk of TdP
Posaconazole,Noxafil and others,,,,Conditional Risk of TdP
Pralsetinib,Gavreto,,,,Possible Risk of TdP
Pretomanid,Dovprela,,,,Possible Risk of TdP
Primaquine phosphate,Jasoprim and others,,,,Possible Risk of TdP
Probucol,Lorelco,,,,Known Risk of TdP
Procainamide,Pronestyl and others,,,,Known Risk of TdP
Promethazine,Phenergan,,,,Possible Risk of TdP
Propafenone,Rythmol SR and others,,,,Conditional Risk of TdP
Propofol,Diprivan and others,,,,Known Risk of TdP
Prothipendyl,Dominal and others,,,,Possible Risk of TdP
Pseudoephedrine,PediaCare and others,,,,Special Risk of TdP
Quetiapine,Seroquel,,,,Conditional Risk of TdP
Quinidine,Quinaglute and others,,,,Known Risk of TdP
Quinine sulfate,Qualaquin and others,,,,Conditional Risk of TdP
Quizartinib,Vanflyta,,,,Known Risk of TdP
Ranolazine,Ranexa and others,,,,Conditional Risk of TdP
Relugolix,Orgovyx and others,,,,Possible Risk of TdP
Remdesivir,Veklury,,,,Possible Risk of TdP
Remimazolam,Byfavo,,,,Possible Risk of TdP
Revumenib,Revuforj,,,,Possible Risk of TdP
Ribociclib,Kisqali,,,,Possible Risk of TdP
Rilpivirine,Edurant and others,,,,Possible Risk of TdP
Risperidone,Risperdal,,,,Conditional Risk of TdP
Ritodrine,Yutopar,,,,Special Risk of TdP
Rivastigmine,Exelon,,,,Possible Risk of TdP
Romidepsin,Istodax,,,,Possible Risk of TdP
Roxithromycin,Rulide and others,,,,Known Risk of TdP
Rucaparib,Rubraca,,,,Possible Risk of TdP
Salmeterol,Serevent and others,,,,Special Risk of TdP
Saquinavir (with ritonavir),Invirase,,,,Possible Risk of TdP
Selpercatinib,Retevmo,,,,Possible Risk of TdP
Serdexmethylphenidate,Azstarys,,,,Special Risk of TdP
Sertindole,Serdolect and others,,,,Known Risk of TdP
Sertraline,Zoloft and others,,,,Conditional Risk of TdP
Sevoflurane,Ultane and others,,,,Known Risk of TdP
Sibutramine,Meridia,,,,Special Risk of TdP
Siponimod,Mayzent,,,,Possible Risk of TdP
Sitafloxacin,Gracevit,,,,Possible Risk of TdP
Solifenacin,Vesicare,,,,Conditional Risk of TdP
Sorafenib,Nexavar,,,,Possible Risk of TdP
Sotalol,Betapace and others,,,,Known Risk of TdP
Sparfloxacin,Zagam,,,,Known Risk of TdP
Sulfamethoxazole and Trimethoprim,Septra and others,,,,Special Risk of TdP
Sulpiride,Dogmatil and others,,,,Known Risk of TdP
Sultopride,Barnetil and others,,,,Known Risk of TdP
Sunitinib,Sutent,,,,Possible Risk of TdP
Tacrolimus,Prograf and others,,,,Possible Risk of TdP
Tamoxifen,Nolvadex and others,,,,Possible Risk of TdP
Tazemetostat,Tazverik,,,,Possible Risk of TdP
Tebentafusp,Kimmtrak,,,,Possible Risk of TdP
Telaprevir,Incivo and others,,,,Conditional Risk of TdP
Telavancin,Vibativ,,,,Possible Risk of TdP
Telithromycin,Ketek,,,,Possible Risk of TdP
Terbutaline,Brethine and others,,,,Special Risk of TdP
Terfenadine,Seldane,,,,Known Risk of TdP
Terlipressin,Teripress and others,,,,Known Risk of TdP
Terodiline,Micturin and others,,,,Known Risk of TdP
Tetrabenazine,Nitoman and others,,,,Possible Risk of TdP
Thioridazine,Mellaril and others,,,,Known Risk of TdP
Tiapride,Tiapridal and others,,,,Possible Risk of TdP
Tipiracil/Trifluridine,Lonsurf,,,,Possible Risk of TdP
Tizanidine,Zanaflex and others,,,,Possible Risk of TdP
Tolterodine,Detrol and others,,,,Possible Risk of TdP
Toremifene,Fareston,,,,Possible Risk of TdP
Torsemide (Torasemide),Demadex and others,,,,Conditional Risk of TdP
Tramadol,Crispin and others,,,,Possible Risk of TdP
Trazodone,Desyrel and others,,,,Conditional Risk of TdP
Triclabendazole,Egaten,,,,Possible Risk of TdP
Trimipramine,Surmontil and others,,,,Possible Risk of TdP
Tropisetron,Navoban and others,,,,Possible Risk of TdP
Valbenazine,Ingrezza,,,,Possible Risk of TdP
Vandetanib,Caprelsa,,,,Known Risk of TdP
Vardenafil,Levitra,,,,Possible Risk of TdP
Vemurafenib,Zelboraf,,,,Possible Risk of TdP
Venlafaxine,Effexor and others,,,,Possible Risk of TdP
Vernakalant,Brinavess and others,,,,Possible Risk of TdP
Vilanterol/fluticasone furoate,Breo Ellipta,,,,Special Risk of TdP
Voclosporin,Lupkynis,,,,Possible Risk of TdP
Voriconazole,VFend,,,,Conditional Risk of TdP
Vorinostat,Zolinza,,,,Possible Risk of TdP
Xylometazoline (Xylomethazoline),Sinosil and others,,,,Special Risk of TdP
Ziprasidone,Geodon and others,,,,Conditional Risk of TdP
Zotepine,Losizopilon and others,,,,Possible Risk of TdP
Zuclopenthixol (Zuclopentixol),Cisordinol and others,,,,Possible Risk of TdP